f='./input.txt'
Performing Design Space Exploration...
Total: 4059 rotations
L97 Dial 97
L9 Dial 0
R95 Dial 91
L680 Dial 86
L632 Dial 6
R92 Dial 74
R122 Dial 66
L60 Dial 88
R572 Dial 28
R59 Dial 0
R441 Dial 59
R61 Dial 0
R739 Dial 61
R73 Dial 0
L173 Dial 73
R4 Dial 0
R96 Dial 4
L24 Dial 0
R38 Dial 76
R87 Dial 14
R99 Dial 1
L80 Dial 0
L34 Dial 20
L86 Dial 86
R73 Dial 0
R91 Dial 73
R907 Dial 64
L20 Dial 71
L768 Dial 51
R785 Dial 83
R32 Dial 68
L301 Dial 0
R1 Dial 99
R174 Dial 0
L41 Dial 74
L192 Dial 33
R59 Dial 41
L29 Dial 0
R56 Dial 71
L27 Dial 27
L69 Dial 0
R785 Dial 31
R484 Dial 16
L26 Dial 0
L674 Dial 74
R48 Dial 0
R79 Dial 48
L77 Dial 27
R50 Dial 50
R85 Dial 0
L94 Dial 85
L91 Dial 91
R81 Dial 0
L81 Dial 81
L72 Dial 0
R3 Dial 28
R467 Dial 31
R46 Dial 98
L24 Dial 44
L20 Dial 20
R36 Dial 0
L957 Dial 36
L56 Dial 79
L47 Dial 23
R695 Dial 76
R789 Dial 71
R423 Dial 60
R598 Dial 83
R257 Dial 81
R27 Dial 38
L52 Dial 65
L75 Dial 13
L53 Dial 38
R888 Dial 85
R18 Dial 73
R54 Dial 91
R25 Dial 45
L95 Dial 70
R25 Dial 75
R7 Dial 0
R855 Dial 7
R86 Dial 62
L50 Dial 48
L98 Dial 98
L86 Dial 0
R86 Dial 14
R53 Dial 0
L53 Dial 53
L14 Dial 0
L94 Dial 86
L68 Dial 92
L424 Dial 24
R2 Dial 0
L2 Dial 2
R22 Dial 0
R72 Dial 22
R23 Dial 94
L30 Dial 17
L87 Dial 87
R87 Dial 0
L87 Dial 87
L46 Dial 0
R717 Dial 54
R80 Dial 71
R49 Dial 51
R78 Dial 0
L78 Dial 78
L710 Dial 0
L193 Dial 90
R3 Dial 97
R947 Dial 0
R268 Dial 47
R250 Dial 15
R19 Dial 65
R930 Dial 84
R50 Dial 14
R215 Dial 64
R18 Dial 79
R3 Dial 97
R34 Dial 0
R66 Dial 34
L66 Dial 0
R674 Dial 34
L8 Dial 8
L53 Dial 0
L989 Dial 47
R776 Dial 58
L34 Dial 34
L84 Dial 0
L40 Dial 16
R724 Dial 76
L29 Dial 0
L75 Dial 71
R594 Dial 96
L890 Dial 90
R51 Dial 0
L74 Dial 51
L554 Dial 77
L75 Dial 23
L48 Dial 48
R99 Dial 0
R77 Dial 99
R90 Dial 76
R638 Dial 66
L88 Dial 4
R34 Dial 16
L607 Dial 50
L43 Dial 43
L5 Dial 0
R16 Dial 95
R20 Dial 11
R869 Dial 31
L38 Dial 0
R50 Dial 62
L12 Dial 12
R52 Dial 0
L82 Dial 52
L29 Dial 70
L710 Dial 41
R69 Dial 31
L11 Dial 0
L993 Dial 89
R496 Dial 96
L92 Dial 92
L91 Dial 0
R591 Dial 9
R31 Dial 0
R69 Dial 31
R68 Dial 0
R2 Dial 68
L81 Dial 70
R165 Dial 89
L381 Dial 54
R27 Dial 73
L28 Dial 0
L72 Dial 72
R52 Dial 0
L47 Dial 52
L135 Dial 5
L70 Dial 70
L15 Dial 0
R15 Dial 85
R98 Dial 0
L88 Dial 98
L93 Dial 10
R431 Dial 17
R918 Dial 48
R62 Dial 66
R78 Dial 28
L6 Dial 6
L34 Dial 0
L32 Dial 66
R1 Dial 34
R34 Dial 35
R82 Dial 69
R49 Dial 51
R11 Dial 0
R3 Dial 11
R34 Dial 14
R19 Dial 48
L21 Dial 67
L46 Dial 46
R68 Dial 0
R487 Dial 68
R45 Dial 55
L364 Dial 0
R60 Dial 36
L96 Dial 96
R18 Dial 0
L51 Dial 18
R821 Dial 67
R840 Dial 88
R72 Dial 28
R79 Dial 0
L8 Dial 79
L8 Dial 71
R338 Dial 63
R99 Dial 1
R67 Dial 0
L67 Dial 67
L57 Dial 0
L343 Dial 43
L88 Dial 0
L12 Dial 12
L29 Dial 0
R46 Dial 71
R27 Dial 17
L551 Dial 44
R73 Dial 93
R34 Dial 66
L80 Dial 0
R80 Dial 20
R95 Dial 0
R75 Dial 95
L86 Dial 70
R85 Dial 84
R78 Dial 69
R74 Dial 47
R50 Dial 21
R534 Dial 71
L1 Dial 5
R96 Dial 4
L49 Dial 0
R49 Dial 51
L34 Dial 0
L66 Dial 66
R85 Dial 0
R80 Dial 85
L621 Dial 65
R56 Dial 44
L82 Dial 0
L90 Dial 18
R86 Dial 28
R36 Dial 14
R177 Dial 50
R773 Dial 27
L41 Dial 0
L59 Dial 59
L73 Dial 0
R73 Dial 27
L952 Dial 0
L24 Dial 48
R66 Dial 24
L51 Dial 90
R18 Dial 39
R43 Dial 57
L10 Dial 0
L707 Dial 90
L83 Dial 83
R49 Dial 0
L40 Dial 49
L74 Dial 9
L35 Dial 35
R62 Dial 0
L62 Dial 62
R936 Dial 0
R64 Dial 36
L61 Dial 0
L39 Dial 39
L26 Dial 0
L45 Dial 74
L53 Dial 29
L20 Dial 76
R79 Dial 56
L2 Dial 35
L5 Dial 33
L13 Dial 28
R85 Dial 15
L62 Dial 0
L45 Dial 38
R29 Dial 93
R50 Dial 22
L72 Dial 72
L24 Dial 0
L76 Dial 76
L27 Dial 0
L79 Dial 73
R6 Dial 94
R428 Dial 0
R418 Dial 28
L485 Dial 46
R39 Dial 61
L162 Dial 0
R30 Dial 38
R32 Dial 68
R75 Dial 0
R25 Dial 75
L57 Dial 0
L143 Dial 43
L13 Dial 0
R48 Dial 87
L35 Dial 35
L615 Dial 0
R715 Dial 85
L923 Dial 0
L66 Dial 77
L968 Dial 11
L43 Dial 43
L760 Dial 0
R91 Dial 40
L94 Dial 31
R563 Dial 37
R60 Dial 0
R40 Dial 60
R17 Dial 0
L17 Dial 17
R90 Dial 0
R218 Dial 90
L60 Dial 8
R92 Dial 48
L40 Dial 40
R14 Dial 0
R68 Dial 14
R96 Dial 82
L323 Dial 78
L155 Dial 55
R76 Dial 0
R24 Dial 76
L87 Dial 0
L59 Dial 13
L41 Dial 54
L47 Dial 13
L66 Dial 66
L57 Dial 0
L43 Dial 43
L70 Dial 0
R949 Dial 30
L79 Dial 79
L64 Dial 0
L91 Dial 36
R55 Dial 45
L534 Dial 0
R8 Dial 66
L1 Dial 74
R57 Dial 73
R476 Dial 30
L806 Dial 6
R19 Dial 0
R581 Dial 19
R38 Dial 0
L4 Dial 38
R486 Dial 34
L395 Dial 20
L17 Dial 25
L47 Dial 8
R69 Dial 61
L754 Dial 30
R771 Dial 76
L47 Dial 47
R56 Dial 0
L718 Dial 56
R5 Dial 38
L43 Dial 43
L43 Dial 0
L57 Dial 57
L539 Dial 0
L417 Dial 61
L69 Dial 44
L75 Dial 75
L12 Dial 0
L42 Dial 88
R54 Dial 46
L5 Dial 0
L93 Dial 95
L22 Dial 2
L80 Dial 80
R6 Dial 0
L6 Dial 6
R73 Dial 0
L65 Dial 73
L8 Dial 8
R744 Dial 0
L444 Dial 44
R54 Dial 0
L863 Dial 54
R726 Dial 91
L17 Dial 17
R52 Dial 0
L506 Dial 52
R33 Dial 46
L15 Dial 79
L43 Dial 64
L446 Dial 21
R79 Dial 75
L511 Dial 54
L50 Dial 43
L93 Dial 93
R48 Dial 0
L48 Dial 48
L630 Dial 0
R76 Dial 70
L90 Dial 46
R856 Dial 56
L12 Dial 12
L62 Dial 0
R59 Dial 38
R3 Dial 97
R59 Dial 0
R906 Dial 59
L21 Dial 65
R56 Dial 44
L88 Dial 0
L14 Dial 12
L98 Dial 98
L61 Dial 0
R61 Dial 39
L951 Dial 0
L26 Dial 49
R43 Dial 23
L66 Dial 66
L79 Dial 0
R937 Dial 21
R77 Dial 58
R165 Dial 35
L194 Dial 0
L934 Dial 6
R258 Dial 72
R41 Dial 30
R148 Dial 71
L19 Dial 19
R362 Dial 0
R21 Dial 62
L398 Dial 83
L85 Dial 85
R10 Dial 0
L29 Dial 10
L93 Dial 81
R8 Dial 88
R22 Dial 96
R383 Dial 18
L23 Dial 1
R22 Dial 78
L987 Dial 0
R68 Dial 13
L31 Dial 81
R24 Dial 50
L2 Dial 74
R66 Dial 72
R23 Dial 38
R39 Dial 61
R45 Dial 0
R77 Dial 45
R292 Dial 22
R86 Dial 14
L4 Dial 0
L72 Dial 96
L53 Dial 24
R29 Dial 71
L688 Dial 0
R33 Dial 12
R55 Dial 45
L71 Dial 0
R71 Dial 29
L692 Dial 0
L42 Dial 8
R34 Dial 66
R64 Dial 0
L26 Dial 64
R909 Dial 38
L823 Dial 47
R76 Dial 24
L830 Dial 0
R34 Dial 70
L4 Dial 4
L363 Dial 0
R69 Dial 37
L6 Dial 6
L17 Dial 0
L83 Dial 83
R9 Dial 0
L82 Dial 9
R61 Dial 27
R93 Dial 88
L19 Dial 81
R12 Dial 62
R26 Dial 74
L55 Dial 0
L645 Dial 45
L67 Dial 0
R48 Dial 33
L29 Dial 81
L52 Dial 52
L40 Dial 0
R40 Dial 60
R897 Dial 0
R34 Dial 97
R20 Dial 31
L451 Dial 51
R47 Dial 0
R653 Dial 47
L65 Dial 0
R96 Dial 35
R15 Dial 31
R86 Dial 46
L96 Dial 32
R85 Dial 36
L21 Dial 21
R98 Dial 0
R86 Dial 98
R54 Dial 84
R662 Dial 38
L754 Dial 0
R54 Dial 46
R59 Dial 0
R51 Dial 59
L11 Dial 10
R56 Dial 99
R442 Dial 55
R6 Dial 97
R97 Dial 3
R79 Dial 0
L927 Dial 79
L52 Dial 52
L96 Dial 0
L63 Dial 4
R61 Dial 41
L60 Dial 2
R614 Dial 42
L19 Dial 56
L30 Dial 37
L88 Dial 7
L93 Dial 19
R640 Dial 26
L89 Dial 66
R23 Dial 77
R64 Dial 0
R41 Dial 64
R53 Dial 5
L31 Dial 58
L27 Dial 27
R309 Dial 0
L9 Dial 9
L27 Dial 0
R2 Dial 73
L75 Dial 75
R15 Dial 0
R86 Dial 15
L29 Dial 1
L52 Dial 72
R80 Dial 20
L290 Dial 0
L76 Dial 10
L12 Dial 34
R78 Dial 22
L158 Dial 0
L64 Dial 42
L78 Dial 78
L26 Dial 0
L74 Dial 74
R41 Dial 0
R59 Dial 41
L630 Dial 0
L99 Dial 70
R29 Dial 71
L65 Dial 0
R50 Dial 35
R5 Dial 85
R58 Dial 90
R7 Dial 48
L98 Dial 55
R3 Dial 57
L51 Dial 60
R65 Dial 9
L74 Dial 74
R668 Dial 0
R18 Dial 68
R80 Dial 86
L14 Dial 66
R424 Dial 52
R76 Dial 76
L352 Dial 52
R38 Dial 0
L50 Dial 38
R412 Dial 88
R93 Dial 0
R7 Dial 93
L27 Dial 0
L8 Dial 73
R433 Dial 65
L12 Dial 98
L86 Dial 86
L13 Dial 0
R13 Dial 87
L74 Dial 0
R74 Dial 26
L55 Dial 0
R55 Dial 45
R222 Dial 0
R378 Dial 22
R4 Dial 0
L48 Dial 4
L56 Dial 56
R25 Dial 0
L25 Dial 25
R57 Dial 0
L90 Dial 57
R54 Dial 67
R687 Dial 21
L85 Dial 8
L55 Dial 23
L68 Dial 68
R19 Dial 0
R62 Dial 19
R519 Dial 81
L45 Dial 0
L55 Dial 55
R946 Dial 0
L56 Dial 46
R82 Dial 90
R923 Dial 72
R5 Dial 95
R25 Dial 0
R72 Dial 25
L33 Dial 97
L64 Dial 64
L90 Dial 0
R6 Dial 10
R3 Dial 16
R81 Dial 19
R1 Dial 0
R99 Dial 1
R1 Dial 0
L820 Dial 1
R30 Dial 81
L11 Dial 11
L38 Dial 0
R671 Dial 62
L88 Dial 33
R87 Dial 45
L37 Dial 32
L95 Dial 95
L58 Dial 0
L46 Dial 42
R4 Dial 96
L84 Dial 0
L16 Dial 16
L64 Dial 0
R59 Dial 36
R5 Dial 95
R30 Dial 0
L30 Dial 30
R33 Dial 0
L96 Dial 33
R61 Dial 37
L98 Dial 98
R775 Dial 0
R25 Dial 75
L69 Dial 0
L767 Dial 31
L64 Dial 64
R89 Dial 0
L89 Dial 89
R58 Dial 0
R87 Dial 58
L80 Dial 45
R65 Dial 65
L47 Dial 30
L74 Dial 83
R65 Dial 9
L31 Dial 74
R79 Dial 43
L27 Dial 22
L95 Dial 95
L40 Dial 0
R40 Dial 60
R71 Dial 0
L59 Dial 71
R66 Dial 12
R22 Dial 78
R69 Dial 0
R49 Dial 69
R32 Dial 18
L50 Dial 50
R54 Dial 0
R546 Dial 54
R280 Dial 0
R75 Dial 80
R994 Dial 55
R6 Dial 49
L687 Dial 55
R92 Dial 68
R240 Dial 60
L461 Dial 0
L39 Dial 39
L540 Dial 0
R25 Dial 60
L33 Dial 85
R77 Dial 52
L34 Dial 29
R86 Dial 95
L33 Dial 81
L48 Dial 48
R83 Dial 0
R156 Dial 83
R11 Dial 39
L50 Dial 50
L13 Dial 0
L87 Dial 87
L59 Dial 0
R6 Dial 41
L214 Dial 47
L56 Dial 33
L42 Dial 77
R28 Dial 35
L40 Dial 63
L23 Dial 23
L32 Dial 0
L27 Dial 68
R19 Dial 41
L69 Dial 60
L91 Dial 91
R76 Dial 0
L58 Dial 76
R82 Dial 18
L86 Dial 0
R967 Dial 14
L738 Dial 81
R23 Dial 43
R90 Dial 66
R672 Dial 56
L76 Dial 28
L75 Dial 52
L352 Dial 77
L622 Dial 25
L85 Dial 3
L18 Dial 18
L9 Dial 0
L91 Dial 91
L86 Dial 0
R54 Dial 14
L68 Dial 68
R79 Dial 0
L838 Dial 79
R59 Dial 41
L61 Dial 0
L84 Dial 39
R81 Dial 55
R564 Dial 36
R485 Dial 0
L51 Dial 85
R4 Dial 34
L21 Dial 38
L94 Dial 17
L11 Dial 23
L63 Dial 12
L49 Dial 49
R35 Dial 0
L14 Dial 35
L21 Dial 21
L145 Dial 0
L165 Dial 55
L54 Dial 90
L54 Dial 36
R318 Dial 82
L284 Dial 0
L74 Dial 16
R58 Dial 42
R63 Dial 0
R782 Dial 63
R655 Dial 45
L89 Dial 0
R89 Dial 11
L39 Dial 0
L898 Dial 61
L49 Dial 63
R986 Dial 14
R117 Dial 0
R82 Dial 17
R1 Dial 99
R872 Dial 0
R165 Dial 72
L19 Dial 37
R75 Dial 18
R39 Dial 93
L82 Dial 32
R640 Dial 50
R74 Dial 90
L964 Dial 64
L16 Dial 0
L784 Dial 84
L67 Dial 0
R67 Dial 33
R10 Dial 0
R90 Dial 10
R6 Dial 0
L6 Dial 6
R95 Dial 0
R5 Dial 95
L38 Dial 0
R63 Dial 62
L15 Dial 25
R90 Dial 10
R93 Dial 0
R1 Dial 93
R85 Dial 94
L79 Dial 79
L869 Dial 0
R69 Dial 31
L15 Dial 0
R815 Dial 85
L9 Dial 0
L8 Dial 91
L83 Dial 83
L174 Dial 0
L26 Dial 26
L82 Dial 0
R63 Dial 18
L81 Dial 81
L794 Dial 0
L33 Dial 6
R23 Dial 73
L10 Dial 96
R14 Dial 86
L76 Dial 0
R14 Dial 24
L52 Dial 38
R68 Dial 86
R46 Dial 54
L77 Dial 0
R10 Dial 23
R61 Dial 33
R56 Dial 94
L50 Dial 50
R50 Dial 0
L99 Dial 50
L51 Dial 51
L18 Dial 0
R11 Dial 82
L4 Dial 93
R157 Dial 89
R58 Dial 46
L25 Dial 4
R75 Dial 79
R46 Dial 54
R22 Dial 0
R49 Dial 22
R88 Dial 71
L82 Dial 59
L28 Dial 77
L6 Dial 49
R57 Dial 43
L92 Dial 0
L37 Dial 8
L71 Dial 71
R3 Dial 0
R18 Dial 3
R99 Dial 21
L20 Dial 20
L21 Dial 0
R62 Dial 79
L9 Dial 41
L9 Dial 32
R24 Dial 23
L47 Dial 47
L22 Dial 0
R40 Dial 78
R82 Dial 18
R82 Dial 0
L1 Dial 82
R7 Dial 81
R12 Dial 88
L76 Dial 0
R80 Dial 24
R96 Dial 4
L71 Dial 0
R90 Dial 29
R55 Dial 19
L14 Dial 74
L60 Dial 60
R84 Dial 0
L2 Dial 84
R29 Dial 82
L90 Dial 11
R87 Dial 21
L91 Dial 8
L77 Dial 17
R71 Dial 40
L38 Dial 11
L66 Dial 73
R64 Dial 7
R15 Dial 71
R90 Dial 86
R88 Dial 76
R42 Dial 64
L6 Dial 6
R45 Dial 0
R53 Dial 45
L54 Dial 98
R56 Dial 44
R69 Dial 0
R22 Dial 69
R97 Dial 91
R38 Dial 88
R47 Dial 26
L47 Dial 73
R18 Dial 26
L13 Dial 44
L13 Dial 31
R19 Dial 18
L11 Dial 37
R36 Dial 26
R25 Dial 62
L21 Dial 87
L43 Dial 66
R2 Dial 23
R19 Dial 25
R2 Dial 44
L15 Dial 46
L38 Dial 31
L35 Dial 93
L22 Dial 58
L36 Dial 36
L10 Dial 0
L38 Dial 90
R31 Dial 52
L20 Dial 83
L2 Dial 63
L17 Dial 61
R1 Dial 44
R34 Dial 45
L10 Dial 79
R26 Dial 69
R34 Dial 95
R1 Dial 29
R7 Dial 30
R46 Dial 37
L39 Dial 83
R44 Dial 44
L19 Dial 88
R50 Dial 69
R7 Dial 19
R17 Dial 26
L50 Dial 43
L4 Dial 93
R16 Dial 89
R5 Dial 5
R8 Dial 10
L14 Dial 18
R44 Dial 4
L19 Dial 48
R13 Dial 29
L31 Dial 42
5978
